,№,Команда,Матчей сыграно,Выиграно,Выиграно в овертайме,Проиграно,Проиграно в овертайме,Очков,Забитые шайбы,Пропущенные шайбы,Разница шайб
0,1,Рейнджерс,82,43,12,23,4,114,282,229,+53
1,2,Каролина,82,44,8,23,7,111,279,216,+63
2,3,Флорида,82,42,10,24,6,110,268,200,+68
3,4,Бостон,82,36,11,20,15,109,267,224,+43
4,5,Торонто,82,33,13,26,10,102,303,263,+40
5,6,Тампа-Бэй,82,37,8,29,8,98,291,268,+23
6,7,Айлендерс,82,29,10,27,16,94,246,263,-17
7,8,Вашингтон,82,32,8,31,11,91,220,257,-37
8,9,Детройт,82,27,14,32,9,91,278,274,+4
9,10,Питтсбург,82,32,6,32,12,88,255,251,+4
10,11,Филадельфия,82,30,8,33,11,87,235,261,-26
11,12,Баффало,82,33,6,37,6,84,246,244,+2
12,13,Нью-Джерси,82,33,5,39,5,81,264,283,-19
13,14,Оттава,82,25,12,41,4,78,255,281,-26
14,15,Монреаль,82,20,10,36,16,76,236,289,-53
15,16,Коламбус,82,21,6,43,12,66,237,300,-63
16,1,Даллас,82,40,12,21,9,113,298,234,+64
17,2,Виннипег,82,46,6,24,6,110,259,199,+60
18,3,Ванкувер,82,44,6,23,9,109,279,223,+56
19,4,Колорадо,82,42,8,25,7,107,304,254,+50
20,5,Эдмонтон,82,39,10,27,6,104,294,237,+57
21,6,Лос-Анджелес,82,37,7,27,11,99,256,215,+41
22,7,Нэшвилл,82,38,9,30,5,99,269,248,+21
23,8,Вегас,82,34,11,29,8,98,267,245,+22
24,9,Сент-Луис,82,31,12,33,6,92,239,250,-11
25,10,Миннесота,82,32,7,33,10,87,251,263,-12
26,11,Калгари,82,32,6,39,5,81,253,271,-18
27,12,Сиэтл,82,28,6,35,13,81,217,236,-19
28,13,Аризона,82,28,8,41,5,77,256,274,-18
29,14,Анахайм,82,21,6,50,5,59,204,295,-91
30,15,Чикаго,82,17,6,53,6,52,179,290,-111
31,16,Сан-Хосе,82,14,5,54,9,47,181,331,-150
